serotype,A_emcee,A_stdev,B_emcee,B_stdev,alpha_emcee,alpha_stdev
1,109.7004423,11.39572633,0.078938364,0.103409941,1.915723961,0.608383163
10A,115.0641828,17.0436727,0.001086657,0.206621613,1.975184118,0.485246614
10B,114.5824708,11.5389156,0.018881996,0.171168096,1.957147345,0.435114704
10F,122.2713074,20.62999866,0.023904336,0.207075356,1.841786059,0.471340022
11A,103.2306573,5.823167173,0.012789877,0.241845228,1.894298267,0.377710773
12B,201.6054839,57.57313963,0.272593082,0.282606815,2.517979499,1.420233567
12F,125.6674135,34.78753393,0.02165257,0.140640735,1.935609538,0.856741692
13,106.7766174,18.82832205,0.018075513,0.142688933,1.945317211,0.376581779
14,115.3386515,21.50297328,0.012239112,0.10336138,2.15216555,0.346679855
15A,105.7438028,14.94886167,0.010770628,0.103885232,2.249242827,0.41954499
15B,119.0391968,21.74313533,0.01100082,0.138003302,1.623040963,0.363343913
15B/C,199.8895337,58.09621083,0.028922731,1.153251069,2.397493633,1.435758748
15B/C_old,109.8904999,26.92236932,-0.012090152,0.180163949,1.896295204,0.404958522
15C,110.8502594,16.3585648,0.021401678,0.201974671,1.624574843,0.413730425
16F,117.5093941,15.03357084,-0.00454582,0.269278171,1.78500716,0.513198879
17F,110.7973516,10.25427457,-0.009109803,0.291876148,2.212890174,0.678735455
18A,119.2645713,23.41106988,0.041973551,0.21437458,2.155447758,0.885498223
18B,200.6162246,57.53070446,0.125398783,0.135573579,2.504785334,1.443967721
18C,109.7874097,37.31564987,-0.014588969,0.264416132,1.905183999,0.467409111
18F,154.7781449,51.03338772,0.058698011,0.036518647,1.844893351,1.070763725
19A,108.4981236,18.26180121,0.004720976,0.133683115,1.852384736,0.32265941
19B,105.5251249,6.334561219,0.047595383,0.047963815,1.527199369,0.297063357
19F,206.5481531,12.2430865,0.030814523,0.00452049,1.527519162,0.098520141
2,200.4665951,57.58156765,0.489659409,0.396061053,2.525834298,1.421791937
20,110.1691543,12.42462358,0.006574759,0.253978392,1.451831399,0.407119891
21,113.0305368,13.35546691,0.022270736,0.130830797,2.021197266,0.443922007
22A,115.4552018,17.51832004,0.032990115,0.231260894,2.310313044,0.777829723
22F,111.1915906,17.13128467,0.031245167,0.188016552,2.890074001,0.921505453
23A,105.1388392,5.925072633,-0.012668473,0.239782714,1.565491791,0.31168356
23B,114.8107617,12.72839981,-0.02882469,0.362756426,1.643346244,0.44068561
23F,154.3284962,11.13463799,-0.006008604,0.284772266,1.392785927,0.20446833
24A,182.6600652,57.08916326,0.184141,0.244047032,2.014119374,1.250764483
24F,108.2613454,12.98891833,0.017381695,0.239942835,1.827805693,0.509361392
25A,177.2951061,57.38003833,0.047130865,0.136985251,1.68420418,1.163414689
25F,192.5032382,57.92735703,0.045807868,0.032042733,2.706699388,1.308290734
28A,183.1440523,54.57510442,0.584097638,0.290331071,2.599482985,1.248597069
28F,106.6901819,10.32630158,-0.005589807,0.281332081,1.967111099,0.568980996
29,140.7059356,40.60563171,0.135139458,0.053994852,2.627630129,0.987155846
3,106.5460272,16.61365946,0.0208652,0.26244212,1.601977341,0.410991617
31,114.2655565,17.51854095,0.057128621,0.042404515,2.047868349,0.73622141
32A,131.1006778,34.50534638,0.27216586,0.073512646,2.175688283,0.93009081
32F,173.4364514,55.82702178,0.174836542,0.178473106,1.959059203,1.058297751
33B,118.5585946,14.48354106,0.002730456,0.184335551,1.874701009,0.457344428
33C,122.0686303,27.10321316,-0.013958488,0.343919869,1.788527745,0.574028733
33D,137.2302968,38.40985951,0.00950388,0.11638229,1.658326786,0.577214857
33F,119.6359662,23.5703437,0.022586887,0.15867195,3.185617713,0.950711496
34,108.8840578,28.29041183,0.005624493,0.089875585,1.571850198,0.312485745
35B,200.3323859,58.04050304,0.210325196,0.09386207,3.029712714,1.280308468
35C,105.6045401,13.08190622,-0.000800278,0.182500238,1.604599596,0.282627287
35F,109.9633086,10.86215733,-0.040612395,0.359885542,1.464610565,0.41268773
36,201.0212161,57.54382213,0.087440371,0.13413632,2.566664345,1.441376237
37,146.3506502,44.87111745,0.074872316,0.027089557,1.983792218,0.939703095
38,104.8282763,14.55944007,0.023641883,0.17411812,2.90199348,0.657010126
39,157.5732471,49.92081696,0.068984528,0.042603726,2.262827406,1.167418205
4,105.2214626,12.06158937,0.023474814,0.167738436,1.881017777,0.420854297
40,115.799804,20.04872572,0.030250494,0.074073361,1.972233946,0.751322192
41F,164.6321473,53.28229288,0.304968926,0.163085546,2.68992771,1.268792851
42,198.683516,57.81329545,0.486592691,0.372110665,2.550391381,1.408625329
45,121.7072254,20.23605012,0.062435641,0.286445639,3.705097272,0.968608127
46,107.7232359,9.202283305,0.035914281,0.280080343,2.101302969,0.662589823
48,193.1394724,54.63787155,0.071117831,0.24969233,3.652279482,1.07573594
5,108.091341,14.04338962,0.024192958,0.177301801,1.408607235,0.404164424
6A/C,106.8021449,5.32346694,-0.02014849,0.185747426,1.475926429,0.302982937
6B,135.9694199,9.114412568,0.019583607,0.004637297,1.688440307,0.121872276
7B,114.9641233,19.22032248,-0.005821554,0.208996785,1.875106712,0.60579442
7F,115.0041812,16.23217332,0.02526262,0.282067589,1.843281732,0.585739045
