Serotype,invasiveness,invasiveness.low,invasiveness.high
11A,0.00021003580495167,0.0,0.000770131284822789
14,0.00665113382346954,0.00406069222906562,0.0156126615014075
18B,0.00021003580495167,0.0,0.0637808727703237
18C,0.0037106325541461705,0.00238040578945226,0.0283548336684754
19A,0.00525089512379175,0.0026604535293878197,0.0178530434208919
19F,0.00161027450462947,0.000840143219806679,0.00273046546437171
21,0.00021003580495167,0.0,0.0637808727703237
23A,0.00021003580495167,0.0,0.0102917544426318
23F,0.00147025063466169,0.000700119349838899,0.0023103938544683698
3,0.000770131284822789,0.00014002386996778,0.0205134969502798
34,0.00021003580495167,0.0,0.00525089512379175
35F,0.0006301074148550089,0.0,0.0023103938544683698
38,0.0074912770432762205,0.0028004773993556,0.320304602551297
4,0.0021703699845005897,0.0012602148297100198,0.0175729956809564
6B,0.00301051320430727,0.0021003580495167,0.00511087125382397
7F,0.00441075190398507,0.00224038191948448,0.0164528047212141
8,0.00021003580495167,0.0,0.0637808727703237
9N,0.00021003580495167,0.0,0.0028704893343394896
9V,0.00273046546437171,0.00112019095974224,0.0136523273218585
20,0.000405208549274637,0.000108062946473237,0.000968984802401201
37,1.10153926963482e-05,1.05151475737869e-05,9.50565732866433e-05
10A,2.8523971985993e-05,1.4517108554277099e-05,6.55421110555278e-05
15A,3.65278939469735e-05,1.4517108554277099e-05,0.000380196293146573
15B/C,3.2025687843922e-05,1.9019314657328698e-05,5.803843421710861e-05
16F,2.80237268634317e-05,1.40168634317159e-05,6.35411305652826e-05
18A,1.6017843921961e-05,1.10153926963482e-05,0.000117567603801901
22F,0.000296655357678839,0.000154085497748874,0.000708357093546773
23B,3.052495247623811e-05,1.3016373186593302e-05,0.000146081575787894
24F,8.00492196098049e-05,2.7523481740870398e-05,0.000608308069034517
17F,0.000213114422211106,6.10399049524762e-05,0.000954477693846924
33F,0.000106562211105553,3.90291195597799e-05,0.000668337483741871
35B,3.15254427213607e-05,1.3016373186593302e-05,0.000153585252626313
31,0.00012006996998499199,5.00349874937469e-05,0.00064032983991996
13,0.000430224892446223,0.00017009495747873898,0.0031615892096048
12F,0.00021011494747373701,9.005497748874441e-05,0.00411206397198599
1,0.00600301090045023,0.00320161048024012,0.0147573872136068
5,0.00575288586293147,0.00215108532266133,0.034467240170085
10B,0.0001,0.0,0.0001
10F,0.0001,0.0,0.0001
12B,0.0001,0.0,0.0001
18F,0.0001,0.0,0.0001
19B,0.0001,0.0,0.0001
2,0.0001,0.0,0.0001
22A,0.0001,0.0,0.0001
24A,0.0001,0.0,0.0001
25A,0.0001,0.0,0.0001
25F,0.0001,0.0,0.0001
28A,0.0001,0.0,0.0001
28F,0.0001,0.0,0.0001
29,0.0001,0.0,0.0001
32A,0.0001,0.0,0.0001
32F,0.0001,0.0,0.0001
33B,0.0001,0.0,0.0001
33C,0.0001,0.0,0.0001
33D,0.0001,0.0,0.0001
35C,0.0001,0.0,0.0001
36,0.0001,0.0,0.0001
39,0.0001,0.0,0.0001
40,0.0001,0.0,0.0001
41F,0.0001,0.0,0.0001
42,0.0001,0.0,0.0001
45,0.0001,0.0,0.0001
46,0.0001,0.0,0.0001
48,0.0001,0.0,0.0001
6A/C,0.0001,0.0,0.0001
7B,0.0001,0.0,0.0001
9A,0.0001,0.0,0.0001
9L,0.0001,0.0,0.0001
NT,0.0,0.0,0.0
