serotype,A_emcee,B_emcee,alpha_emcee,beta,maxcarrdur
1,109.7004423,0.078938364,1.915723961,9.55E-05,37.57650528
10A,115.0641828,0.001086657,1.975184118,4.53E-05,104.8634221
10B,114.5824708,0.018881996,1.957147345,4.55E-05,44.72573794
10F,122.2713074,0.023904336,1.841786059,4.92E-05,37.62756379
11A,103.2306573,0.012789877,1.894298267,6.81E-05,94.72522485
12B,201.6054839,0.272593082,2.517979499,0.000109721,298.555769
12F,125.6674135,0.02165257,1.935609538,0.00010867,135.0534304
13,106.7766174,0.018075513,1.945317211,5.72E-05,14.23909993
14,115.3386515,0.012239112,2.15216555,3.98E-05,59.9885833
15A,105.7438028,0.010770628,2.249242827,4.90E-05,110.3762828
15B,119.0391968,0.01100082,1.623040963,4.80E-05,271.5788174
15B/C,199.8895337,0.028922731,2.397493633,4.39E-05,481.6883241
15B/C_old,109.8904999,-0.012090152,1.896295204,4.39E-05,109.857633
15C,110.8502594,0.021401678,1.624574843,8.22E-05,12.54290716
16F,117.5093941,-0.00454582,1.78500716,4.60E-05,82.7483031
17F,110.7973516,-0.009109803,2.212890174,5.04E-05,69.05377361
18A,119.2645713,0.041973551,2.155447758,7.83E-05,39.88639948
18B,200.6162246,0.125398783,2.504785334,0.000212585,75.21837334
18C,109.7874097,-0.014588969,1.905183999,7.38E-05,97.96597571
18F,154.7781449,0.058698011,1.844893351,0.000110613,102.0720635
19A,108.4981236,0.004720976,1.852384736,4.43E-05,72.76858697
19B,105.5251249,0.047595383,1.527199369,6.62E-05,212.5352789
19F,206.5481531,0.030814523,1.527519162,2.16E-05,213.9450825
2,200.4665951,0.489659409,2.525834298,0.000113379,237.5029609
20,110.1691543,0.006574759,1.451831399,7.03E-05,74.64734445
21,113.0305368,0.022270736,2.021197266,4.48E-05,82.28813307
22A,115.4552018,0.032990115,2.310313044,7.01E-05,293.5398201
22F,111.1915906,0.031245167,2.890074001,7.88E-05,87.38055046
23A,105.1388392,-0.012668473,1.565491791,5.04E-05,100.6257911
23B,114.8107617,-0.02882469,1.643346244,4.33E-05,96.84812854
23F,154.3284962,-0.006008604,1.392785927,3.02E-05,321.6718952
24A,182.6600652,0.184141,2.014119374,7.64E-05,102.8576462
24F,108.2613454,0.017381695,1.827805693,7.76E-05,13.73276334
25A,177.2951061,0.047130865,1.68420418,0.00011152,72.67721329
25F,192.5032382,0.045807868,2.706699388,8.95E-05,140.4384336
28A,183.1440523,0.584097638,2.599482985,4.23E-05,211.9918653
28F,106.6901819,-0.005589807,1.967111099,6.07E-05,16.47739889
29,140.7059356,0.135139458,2.627630129,9.80E-05,233.9792946
3,106.5460272,0.0208652,1.601977341,8.63E-05,194.6043509
31,114.2655565,0.057128621,2.047868349,8.53E-05,6.000239267
32A,131.1006778,0.27216586,2.175688283,8.01E-05,78.76930855
32F,173.4364514,0.174836542,1.959059203,5.04E-05,447.7034305
33B,118.5585946,0.002730456,1.874701009,4.04E-05,104.8359096
33C,122.0686303,-0.013958488,1.788527745,4.97E-05,23.85989374
33D,137.2302968,0.00950388,1.658326786,3.73E-05,208.6511974
33F,119.6359662,0.022586887,3.185617713,5.93E-05,105.7380378
34,108.8840578,0.005624493,1.571850198,4.62E-05,38.1977838
35B,200.3323859,0.210325196,3.029712714,0.000147885,161.0479609
35C,105.6045401,-0.000800278,1.604599596,4.73E-05,330.0395486
35F,109.9633086,-0.040612395,1.464610565,4.96E-05,11.23343656
36,201.0212161,0.087440371,2.566664345,0.000113379,43.65247548
37,146.3506502,0.074872316,1.983792218,7.66E-05,156.6158094
38,104.8282763,0.023641883,2.90199348,9.12E-05,93.07016438
39,157.5732471,0.068984528,2.262827406,5.72E-05,49.61076901
4,105.2214626,0.023474814,1.881017777,7.59E-05,86.80301979
40,115.799804,0.030250494,1.972233946,8.13E-05,163.7564418
41F,164.6321473,0.304968926,2.68992771,8.50E-05,108.3979586
42,198.683516,0.486592691,2.550391381,0.000109721,337.570444
45,121.7072254,0.062435641,3.705097272,5.81E-05,130.864421
46,107.7232359,0.035914281,2.101302969,8.70E-05,82.93252511
48,193.1394724,0.071117831,3.652279482,4.78E-05,125.5858947
5,108.091341,0.024192958,1.408607235,0.00012546,73.07874274
6A/C,106.8021449,-0.02014849,1.475926429,3.95E-05,28.92762565
6B,135.9694199,0.019583607,1.688440307,3.06E-05,131.3197724
7B,114.9641233,-0.005821554,1.875106712,5.44E-05,264.3313414
7F,115.0041812,0.02526262,1.843281732,5.82E-05,71.5434658
8,112.5328165,-0.011967726,1.653657839,8.43E-05,60.4890925
9A,213.4383308,0.10050568,1.852181965,3.25E-05,29.40179563
9L,127.4116936,0.004566166,1.895687297,7.89E-05,152.1239551
9N,108.6917981,0.036135833,2.569249025,6.70E-05,67.7451012
9V,115.17026,0.012265934,1.73576243,4.91E-05,45.85954351
NT,136.3122432,-0.028697614,1.144704649,2.77E-05,88.10773913
