simnum,country,beta,indivs,vacc_dur,vacc_eff,sigma,epsilon,theta,description
1,fra,0.00012075,500,10,0.95,0.4,0.1,0.1,default500
2,fra,0.00012075,1000,10,0.95,0.4,0.1,0.1,default1k
3,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
4,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
5,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
6,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
7,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
8,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
9,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
10,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
11,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
12,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
13,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
14,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
15,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
16,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
17,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
18,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
19,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
20,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
21,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
22,fra,0.00012075,5000,10,0.95,0.4,0.1,0.1,default5k
23,fra,0.00012075,10000,10,0.95,0.4,0.1,0.1,default10k
24,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
25,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
26,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
27,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
28,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
29,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
30,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
31,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
32,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
33,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
34,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
35,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
36,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
37,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
38,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
39,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
40,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
41,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
42,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
43,fra,0.00012075,5000,10,0.95,0.6,0.1,0.1,sigma5k_lo
44,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
45,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
46,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
47,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
48,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
49,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
50,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
51,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
52,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
53,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
54,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
55,fra,0.00012075,5000,10,0.95,0.8,0.1,0.1,sigma5k_hi
