Serotype,invasiveness,invasiveness.low,invasiveness.high
1,0.0018203302074298602,0.000840152403429167,1.20239811470771
10A,0.000300051149930577,0.0,0.000500085249884295
11A,0.000100017049976859,0.0,0.000100017049976859
12B,0.0019003447220431698,0.000800145146123442,0.870257864552508
13,0.000300051149930577,0.0,0.0513087466381287
14,0.000300051149930577,0.0,0.004100699049051221
15A,0.000100017049976859,0.0,0.000300051149930577
15B/C,0.000100017049976859,0.0,0.000300051149930577
16F,0.000100017049976859,0.0,0.000300051149930577
17F,0.000300051149930577,0.0,0.00130022164969917
18B,0.0019003447220431698,0.00160029029224688,0.876659025721496
18C,0.0021003580495140397,0.000600102299861154,0.0267045523438214
18F,0.000300051149930577,0.0,0.0513087466381287
19A,0.0009001534497917311,0.000600102299861154,0.00110018754974545
19F,0.000100017049976859,0.0,0.000300051149930577
20,0.0019003447220431698,0.00160029029224688,0.876659025721496
21,0.000300051149930577,0.0,0.00130022164969917
22F,0.0009001534497917311,0.000200034099953718,0.00130022164969917
23A,0.000100017049976859,0.0,0.000100017049976859
23B,0.000100017049976859,0.0,0.000500085249884295
23F,0.000300051149930577,0.0,0.00310052854928263
25A,0.000100017049976859,0.0,0.00270046034937519
3,0.0009001534497917311,0.000200034099953718,0.00270046034937519
31,0.000100017049976859,0.0,0.0009001534497917311
33F,0.0021003580495140397,0.000800136399814872,0.00750127874826443
34,0.000100017049976859,0.0,0.000500085249884295
35B,0.000100017049976859,0.0,0.000100017049976859
35F,0.000100017049976859,0.0,0.000300051149930577
36,0.000300051149930577,0.0,0.0513087466381287
37,0.000100017049976859,0.0,0.00270046034937519
38,0.000300051149930577,0.0,0.00310052854928263
4,0.00550099787959866,0.0022003991518394603,0.8834602594635451
6A/C,0.000500085249884295,0.000200034099953718,0.00110018754974545
6B,0.000300051149930577,0.0,0.0015002557496528901
7F,0.0015002557496528901,0.000800136399814872,0.00310052854928263
9A,0.000300051149930577,0.0,0.0513087466381287
9N,0.000100017049976859,0.0,0.0023003921494677603
9V,0.000300051149930577,0.0,0.0061010400485884
8,0.0006198137068534269,0.000326169819909955,0.000971486028014007
18A,1.6017843921961e-05,1.10153926963482e-05,0.000117567603801901
24F,6.6042356178089e-05,2.25210305152576e-05,0.000415213451725863
12F,0.000200109949974987,8.004997998999499e-05,0.00213107446723362
5,0.00170086025512756,0.000750385112556278,0.00695348604302151
10B,1e-05,0.0,0.0001
10F,1e-05,0.0,0.0001
19B,1e-05,0.0,0.0001
2,1e-05,0.0,0.0001
22A,1e-05,0.0,0.0001
24A,1e-05,0.0,0.0001
25F,1e-05,0.0,0.0001
28A,1e-05,0.0,0.0001
28F,1e-05,0.0,0.0001
29,1e-05,0.0,0.0001
32A,1e-05,0.0,0.0001
32F,1e-05,0.0,0.0001
33B,1e-05,0.0,0.0001
33C,1e-05,0.0,0.0001
33D,1e-05,0.0,0.0001
35C,1e-05,0.0,0.0001
39,1e-05,0.0,0.0001
40,1e-05,0.0,0.0001
41F,1e-05,0.0,0.0001
42,1e-05,0.0,0.0001
45,1e-05,0.0,0.0001
46,1e-05,0.0,0.0001
48,1e-05,0.0,0.0001
7B,1e-05,0.0,0.0001
9L,1e-05,0.0,0.0001
NT,0.0,0.0,0.0
